,amount,buy_or_sell,date,liquidity_curve_susd,liquidity_curvefi,liquidity_kyber,liquidity_mstable,liquidity_oasis,liquidity_uniswap,liquidity_uniswap_v2,liquidity_zero_x,price,time
226,50000,buy,2020-08-13,3.0,93.0,,,,,,4.0,1.0220214885080823,08:50:28.331797
227,100000,buy,2020-08-13,38.0,60.0,,,,,,2.0,1.0222760068168064,08:50:29.132957
228,200000,buy,2020-08-13,56.0,43.0,,,,,,1.0,1.0225526548352486,08:50:29.884947
229,500000,buy,2020-08-13,66.0,33.0,,,,,,1.0,1.0232126903572545,08:50:30.631967
230,1000000,buy,2020-08-13,67.0,29.0,,,,,,4.0,1.024272072492903,08:50:31.993005
231,1500000,buy,2020-08-13,70.0,28.0,,,,,,2.0,1.0254275552423873,08:50:33.448887
232,10000,sell,2020-08-13,99.0,,,,,1.0,,,1.0215816676247151,08:50:34.267251
233,25000,sell,2020-08-13,100.0,,,,,,,,1.021537178407077,08:50:35.515186
234,50000,sell,2020-08-13,100.0,,,,,,,,1.0214694503086852,08:50:36.491821
235,100000,sell,2020-08-13,100.0,,,,,,,,1.0213350013051055,08:50:37.244225
236,200000,sell,2020-08-13,90.0,10.0,,,,,,,1.0210908141022128,08:50:38.467343
237,500000,sell,2020-08-13,80.0,20.0,,,,,,,1.020494613931133,08:50:39.822106
238,1000000,sell,2020-08-13,75.0,23.0,,,,,,2.0,1.0196107842002804,08:50:40.538941
239,1500000,sell,2020-08-13,73.0,25.0,,,,,,2.0,1.018806236531232,08:50:41.840181
240,10000,buy,2020-08-13,,80.0,,,,,,20.0,1.021448162532317,08:51:42.590834
241,25000,buy,2020-08-13,,92.0,,,,,,8.0,1.0217701239124561,08:51:43.306689
242,50000,buy,2020-08-13,,96.0,,,,,,4.0,1.0220220617971498,08:51:44.660992
243,100000,buy,2020-08-13,37.0,61.0,,,,,,2.0,1.0222876628175344,08:51:46.022234
244,200000,buy,2020-08-13,55.0,44.0,,,,,,1.0,1.0225700446112373,08:51:46.980946
245,500000,buy,2020-08-13,66.0,33.0,,,,,,1.0,1.0232338896859536,08:51:48.240535
246,1000000,buy,2020-08-13,67.0,29.0,,,,,,4.0,1.0242945089536781,08:51:49.021115
247,1500000,buy,2020-08-13,69.0,28.0,,,1.0,,,2.0,1.02545202309471,08:51:49.836854
248,10000,sell,2020-08-13,96.0,,,,,1.0,3.0,,1.0216142102872539,08:51:50.522885
249,25000,sell,2020-08-13,98.0,,,,,,2.0,,1.0215697686968908,08:51:51.815385
250,50000,sell,2020-08-13,99.0,,,,,,1.0,,1.0215023851205969,08:51:53.150133
251,100000,sell,2020-08-13,99.0,,,,,,1.0,,1.0213689595094997,08:51:54.413049
252,200000,sell,2020-08-13,90.0,9.0,,,,,1.0,,1.021122796982409,08:51:54.987102
253,500000,sell,2020-08-13,79.0,20.0,,,,,1.0,,1.0205251740075616,08:51:56.332013
254,1000000,sell,2020-08-13,75.0,23.0,,,,,1.0,1.0,1.019640309821842,08:51:57.585724
255,1500000,sell,2020-08-13,73.0,24.0,,,,,1.0,2.0,1.0188336407922705,08:51:58.902026
256,10000,buy,2020-08-13,,80.0,,,,,,20.0,1.0214481609544583,08:53:00.327310
257,25000,buy,2020-08-13,,92.0,,,,,,8.0,1.0217701220815754,08:53:01.636479
258,50000,buy,2020-08-13,,96.0,,,,,,4.0,1.0220220602380434,08:53:02.654571
259,100000,buy,2020-08-13,37.0,61.0,,,,,,2.0,1.0222876859041283,08:53:03.479492
260,200000,buy,2020-08-13,55.0,44.0,,,,,,1.0,1.0225700800294342,08:53:04.153576
261,500000,buy,2020-08-13,66.0,33.0,,,,,,1.0,1.0232339336432272,08:53:04.906008
262,1000000,buy,2020-08-13,68.0,29.0,,,,,,3.0,1.0243006860235238,08:53:05.837085
263,1500000,buy,2020-08-13,69.0,28.0,,,1.0,,,2.0,1.0254520733260848,08:53:07.188819
264,10000,sell,2020-08-13,99.0,,,,,1.0,,,1.021562452776775,08:53:08.648393
265,25000,sell,2020-08-13,100.0,,,,,,,,1.0215177797384964,08:53:09.449984
266,50000,sell,2020-08-13,100.0,,,,,,,,1.0214500684945798,08:53:10.867531
267,100000,sell,2020-08-13,100.0,,,,,,,,1.021315652655096,08:53:12.346058
268,200000,sell,2020-08-13,89.0,11.0,,,,,,,1.0210735852421788,08:53:13.637643
269,500000,sell,2020-08-13,79.0,21.0,,,,,,,1.020479345866229,08:53:14.927231
270,1000000,sell,2020-08-13,75.0,23.0,,,,,,2.0,1.0196003886782112,08:53:16.181828
271,1500000,sell,2020-08-13,73.0,25.0,,,,,,2.0,1.0187950514905404,08:53:16.907596
272,10000,buy,2020-08-13,,80.0,,,,,,20.0,1.0214481599258523,08:54:18.189037
273,25000,buy,2020-08-13,,92.0,,,,,,8.0,1.0217701208880225,08:54:19.470566
274,50000,buy,2020-08-13,7.0,89.0,,,,,,4.0,1.0220199236436145,08:54:20.168880
275,100000,buy,2020-08-13,40.0,58.0,,,,,,2.0,1.022263635137523,08:54:20.851348
276,200000,buy,2020-08-13,57.0,42.0,,,,,,1.0,1.0225348004310306,08:54:22.267857
277,500000,buy,2020-08-13,66.0,33.0,,,,,,1.0,1.0231910440326883,08:54:23.475516
278,1000000,buy,2020-08-13,68.0,28.0,,,,,,4.0,1.0242453930579798,08:54:24.322558
279,1500000,buy,2020-08-13,70.0,28.0,,,,,,2.0,1.0254019355822,08:54:25.558733
280,10000,sell,2020-08-13,99.0,,,,,1.0,,,1.0215506023263463,08:54:26.388891
281,25000,sell,2020-08-13,100.0,,,,,,,,1.0215058407044688,08:54:27.959618
282,50000,sell,2020-08-13,100.0,,,,,,,,1.0214381806665787,08:54:28.829627
283,100000,sell,2020-08-13,100.0,,,,,,,,1.0213038660799547,08:54:30.172229
